name,relationship,phone_number,email,job
عامر صادقي,اﻷب,0454512121,email@email.com,أستاذ
سليمة سالمي,اﻷم,0454512122,email@email.com,طبيب
أحمد النجار,العم,0454512123,email@email.com,تاجر
سعدية سابق,الخالة,0454512124,email@email.com,مدير
فؤاد عبادي,اﻷخ,0454512125,email@email.com,موظف
ياسين مرزوقي,اﻷب,0454512126,email@email.com,أستاذ
سعد منير,اﻷب,0454512127,email@email.com,طبيب
قاسمي فضيلة,العمة,0454512128,email@email.com,تاجر
بلخيري مروان,الخال,0454512129,email@email.com,مدير
ياسين مصطفاي,اﻷخ,0454512130,email@email.com,موظف
حميدة أحمد,اﻷب,0454512131,email@email.com,أستاذ
بن حنيش نواري,اﻷب,0454512132,email@email.com,طبيب
شنة سليم,العم,0454512133,email@email.com,تاجر
عماري علال,الخال,0454512134,email@email.com,مدير
العباس حسين,اﻷخ,0454512135,email@email.com,موظف
بن الشيخ مونة,اﻷم,0454512136,email@email.com,أستاذ
تربش عزالدين,اﻷم,0454512137,email@email.com,طبيب
ربيعي  هالة,اﻷم,0454512138,email@email.com,تاجر
العابد عبد العزيز,الخال,0454512139,email@email.com,مدير
سماش سيد أحمد,اﻷخ,0454512140,email@email.com,موظف
بن سنوسي كمال,اﻷب,0454512141,email@email.com,أستاذ
آيت سعدي تركية,اﻷم,0454512142,email@email.com,طبيب
برايح حاج,العم,0454512143,email@email.com,تاجر
نوري قسمية,الخال,0454512144,email@email.com,مدير
بلقاضي محمد,اﻷخ,0454512145,email@email.com,موظف
عبدو نادية,اﻷم,0454512146,email@email.com,أستاذ
اعمر محمد الامين,اﻷب,0454512147,email@email.com,طبيب
